   ,DIST_CODE,DIST_NAME,CITY
630,210922,彰武县,阜新市
631,211000,辽阳市,辽阳市
632,211001,市辖区,市辖区
633,211002,白塔区,辽阳市
634,211003,文圣区,辽阳市
635,211004,宏伟区,辽阳市
636,211005,弓长岭区,辽阳市
637,211011,太子河区,辽阳市
638,211021,辽阳县,辽阳市
639,211081,灯塔市,辽阳市
640,211100,盘锦市,盘锦市
641,211101,市辖区,市辖区
642,211102,双台子区,盘锦市
643,211103,兴隆台区,盘锦市
644,211104,大洼区,盘锦市
645,211121,大洼县,大洼县
646,211122,盘山县,盘锦市
647,211200,铁岭市,铁岭市
648,211201,市辖区,市辖区
649,211202,银州区,铁岭市
650,211204,清河区,铁岭市
651,211221,铁岭县,铁岭市
652,211223,西丰县,铁岭市
653,211224,昌图县,铁岭市
654,211281,调兵山市,铁岭市
655,211282,开原市,铁岭市
656,211300,朝阳市,朝阳市
657,211301,市辖区,市辖区
658,211302,双塔区,朝阳市
659,211303,龙城区,朝阳市
660,211321,朝阳县,朝阳市
661,211322,建平县,朝阳市
662,211324,喀喇沁左翼蒙古族自治县,朝阳市
663,211381,北票市,朝阳市
664,211382,凌源市,朝阳市
665,211400,葫芦岛市,葫芦岛市
666,211401,市辖区,市辖区
667,211402,连山区,葫芦岛市
668,211403,龙港区,葫芦岛市
669,211404,南票区,葫芦岛市
670,211421,绥中县,葫芦岛市
671,211422,建昌县,葫芦岛市
672,211481,兴城市,葫芦岛市
673,220000,吉林省,吉林省
674,220100,长春市,长春市
675,220101,市辖区,市辖区
676,220102,南关区,长春市
677,220103,宽城区,长春市
678,220104,朝阳区,长春市
679,220105,二道区,长春市
680,220106,绿园区,长春市
681,220112,双阳区,长春市
682,220113,九台区,长春市
683,220122,农安县,长春市
684,220181,九台市,九台市
685,220182,榆树市,长春市
686,220183,德惠市,长春市
687,220184,公主岭市,长春市
688,220200,吉林市,吉林市
689,220201,市辖区,市辖区
690,220202,昌邑区,吉林市
691,220203,龙潭区,吉林市
692,220204,船营区,吉林市
693,220211,丰满区,吉林市
694,220221,永吉县,吉林市
695,220281,蛟河市,吉林市
696,220282,桦甸市,吉林市
697,220283,舒兰市,吉林市
698,220284,磐石市,吉林市
699,220300,四平市,四平市
700,220301,市辖区,市辖区
701,220302,铁西区,四平市
702,220303,铁东区,四平市
703,220322,梨树县,四平市
704,220323,伊通满族自治县,四平市
705,220381,公主岭市,四平市
706,220382,双辽市,四平市
707,220400,辽源市,辽源市
708,220401,市辖区,市辖区
709,220402,龙山区,辽源市
710,220403,西安区,辽源市
711,220421,东丰县,辽源市
712,220422,东辽县,辽源市
713,220500,通化市,通化市
714,220501,市辖区,市辖区
715,220502,东昌区,通化市
716,220503,二道江区,通化市
717,220521,通化县,通化市
718,220523,辉南县,通化市
719,220524,柳河县,通化市
720,220581,梅河口市,通化市
721,220582,集安市,通化市
722,220600,白山市,白山市
723,220601,市辖区,市辖区
724,220602,浑江区,白山市
725,220605,江源区,白山市
726,220621,抚松县,白山市
727,220622,靖宇县,白山市
728,220623,长白朝鲜族自治县,白山市
729,220625,江源县,江源县
730,220681,临江市,白山市
731,220700,松原市,松原市
732,220701,市辖区,市辖区
733,220702,宁江区,松原市
734,220721,前郭尔罗斯蒙古族自治县,松原市
735,220722,长岭县,松原市
736,220723,乾安县,松原市
737,220724,扶余县,扶余县
738,220781,扶余市,松原市
739,220800,白城市,白城市
740,220801,市辖区,市辖区
741,220802,洮北区,白城市
742,220821,镇赉县,白城市
743,220822,通榆县,白城市
744,220881,洮南市,白城市
745,220882,大安市,白城市
746,222400,延边朝鲜族自治州,延边朝鲜族自治州
747,222401,延吉市,延边朝鲜族自治州
748,222402,图们市,延边朝鲜族自治州
749,222403,敦化市,延边朝鲜族自治州
750,222404,珲春市,延边朝鲜族自治州
751,222405,龙井市,延边朝鲜族自治州
752,222406,和龙市,延边朝鲜族自治州
753,222424,汪清县,延边朝鲜族自治州
754,222426,安图县,延边朝鲜族自治州
755,230000,黑龙江省,黑龙江省
756,230100,哈尔滨市,哈尔滨市
757,230101,市辖区,市辖区
758,230102,道里区,哈尔滨市
759,230103,南岗区,哈尔滨市
760,230104,道外区,哈尔滨市
761,230108,平房区,哈尔滨市
762,230109,松北区,哈尔滨市
763,230110,香坊区,哈尔滨市
764,230111,呼兰区,哈尔滨市
765,230112,阿城区,哈尔滨市
766,230113,双城区,哈尔滨市
767,230123,依兰县,哈尔滨市
768,230124,方正县,哈尔滨市
769,230125,宾县,哈尔滨市
770,230126,巴彦县,哈尔滨市
771,230127,木兰县,哈尔滨市
772,230128,通河县,哈尔滨市
773,230129,延寿县,哈尔滨市
774,230182,双城市,双城市
775,230183,尚志市,哈尔滨市
776,230184,五常市,哈尔滨市
777,230200,齐齐哈尔市,齐齐哈尔市
778,230201,市辖区,市辖区
779,230202,龙沙区,齐齐哈尔市
780,230203,建华区,齐齐哈尔市
781,230204,铁锋区,齐齐哈尔市
782,230205,昂昂溪区,齐齐哈尔市
783,230206,富拉尔基区,齐齐哈尔市
784,230207,碾子山区,齐齐哈尔市
785,230208,梅里斯达斡尔族区,齐齐哈尔市
786,230221,龙江县,齐齐哈尔市
787,230223,依安县,齐齐哈尔市
788,230224,泰来县,齐齐哈尔市
789,230225,甘南县,齐齐哈尔市
790,230227,富裕县,齐齐哈尔市
791,230229,克山县,齐齐哈尔市
792,230230,克东县,齐齐哈尔市
793,230231,拜泉县,齐齐哈尔市
794,230281,讷河市,齐齐哈尔市
795,230300,鸡西市,鸡西市
796,230301,市辖区,市辖区
797,230302,鸡冠区,鸡西市
798,230303,恒山区,鸡西市
799,230304,滴道区,鸡西市
800,230305,梨树区,鸡西市
801,230306,城子河区,鸡西市
802,230307,麻山区,鸡西市
803,230321,鸡东县,鸡西市
804,230381,虎林市,鸡西市
805,230382,密山市,鸡西市
806,230400,鹤岗市,鹤岗市
807,230401,市辖区,市辖区
808,230402,向阳区,鹤岗市
809,230403,工农区,鹤岗市
810,230404,南山区,鹤岗市
811,230405,兴安区,鹤岗市
812,230406,东山区,鹤岗市
813,230407,兴山区,鹤岗市
814,230421,萝北县,鹤岗市
815,230422,绥滨县,鹤岗市
816,230500,双鸭山市,双鸭山市
817,230501,市辖区,市辖区
818,230502,尖山区,双鸭山市
819,230503,岭东区,双鸭山市
820,230505,四方台区,双鸭山市
821,230506,宝山区,双鸭山市
822,230521,集贤县,双鸭山市
823,230522,友谊县,双鸭山市
824,230523,宝清县,双鸭山市
825,230524,饶河县,双鸭山市
826,230600,大庆市,大庆市
827,230601,市辖区,市辖区
828,230602,萨尔图区,大庆市
829,230603,龙凤区,大庆市
830,230604,让胡路区,大庆市
831,230605,红岗区,大庆市
832,230606,大同区,大庆市
833,230621,肇州县,大庆市
834,230622,肇源县,大庆市
835,230623,林甸县,大庆市
836,230624,杜尔伯特蒙古族自治县,大庆市
837,230700,伊春市,伊春市
838,230701,市辖区,市辖区
839,230702,伊春区,伊春市
840,230703,南岔区,伊春市
841,230704,友好区,伊春市
842,230705,西林区,伊春市
843,230706,翠峦区,伊春市
844,230707,新青区,伊春市
845,230708,美溪区,伊春市
846,230709,金山屯区,伊春市
847,230710,五营区,伊春市
848,230711,乌马河区,伊春市
849,230712,汤旺河区,伊春市
850,230713,带岭区,伊春市
851,230714,乌伊岭区,伊春市
852,230715,红星区,伊春市
853,230716,上甘岭区,伊春市
854,230717,伊美区,伊春市
855,230718,乌翠区,伊春市
856,230719,友好区,伊春市
857,230722,嘉荫县,伊春市
858,230723,汤旺县,伊春市
859,230724,丰林县,伊春市
860,230725,大箐山县,伊春市
861,230726,南岔县,伊春市
862,230751,金林区,伊春市
863,230781,铁力市,伊春市
